t_rel_s,code,label,time_unix,time_lsl,time_perf,offset_unix_minus_lsl,time_webapp,webapp_minus_local_ms,inserted_to_board,raw
98.974530,341.000000,341,1788108835.413707,326162.545704,100997.431188,1787782672.868003,1788108835.412000,-1.707554,True,"{""marker"":341,""timestamp"":1788108835.412}"
99.570891,400.000000,400,1788108836.010068,326163.142063,100998.027545,1787782672.868006,1788108836.008000,-2.068520,True,"{""marker"":400,""timestamp"":1788108836.008}"
99.571341,410.000000,410,1788108836.010518,326163.142510,100998.027989,1787782672.868008,1788108836.008000,-2.517700,True,"{""marker"":410,""timestamp"":1788108836.008}"
99.571472,420.000000,420,1788108836.010649,326163.142640,100998.028119,1787782672.868009,1788108836.008000,-2.648830,True,"{""marker"":420,""timestamp"":1788108836.008}"
100.394727,430.000000,430,1788108836.833904,326163.965897,100998.851378,1787782672.868007,1788108836.832000,-1.904011,True,"{""marker"":430,""timestamp"":1788108836.832}"
100.971822,450.000000,450,1788108837.410999,326164.542991,100999.428473,1787782672.868008,1788108837.409000,-1.999140,True,"{""marker"":450,""timestamp"":1788108837.409}"
101.337223,440.000000,440,1788108837.776400,326164.908392,100999.793874,1787782672.868008,1788108837.775000,-1.399994,True,"{""marker"":440,""timestamp"":1788108837.775}"
101.337634,410.000000,410,1788108837.776811,326164.908801,100999.794280,1787782672.868010,1788108837.775000,-1.811028,True,"{""marker"":410,""timestamp"":1788108837.775}"
101.337747,420.000000,420,1788108837.776924,326164.908914,100999.794393,1787782672.868010,1788108837.775000,-1.924276,True,"{""marker"":420,""timestamp"":1788108837.775}"
101.765863,430.000000,430,1788108838.205040,326165.337032,101000.222514,1787782672.868008,1788108838.204000,-1.039982,True,"{""marker"":430,""timestamp"":1788108838.204}"
102.278547,450.000000,450,1788108838.717724,326165.849715,101000.735196,1787782672.868010,1788108838.716000,-1.724243,True,"{""marker"":450,""timestamp"":1788108838.716}"
102.611129,440.000000,440,1788108839.050306,326166.182297,101001.067778,1787782672.868009,1788108839.049000,-1.306295,True,"{""marker"":440,""timestamp"":1788108839.049}"
102.611655,410.000000,410,1788108839.050832,326166.182821,101001.068300,1787782672.868011,1788108839.049000,-1.831532,True,"{""marker"":410,""timestamp"":1788108839.049}"
102.611806,420.000000,420,1788108839.050983,326166.182971,101001.068451,1787782672.868012,1788108839.049000,-1.983404,True,"{""marker"":420,""timestamp"":1788108839.049}"
103.175033,430.000000,430,1788108839.614210,326166.746203,101001.631686,1787782672.868007,1788108839.613000,-1.210213,True,"{""marker"":430,""timestamp"":1788108839.613}"
103.657805,450.000000,450,1788108840.096982,326167.228970,101002.114451,1787782672.868012,1788108840.096000,-0.982523,True,"{""marker"":450,""timestamp"":1788108840.096}"
103.964297,440.000000,440,1788108840.403474,326167.535466,101002.420951,1787782672.868008,1788108840.402000,-1.473665,True,"{""marker"":440,""timestamp"":1788108840.402}"
103.964659,411.000000,411,1788108840.403836,326167.535823,101002.421305,1787782672.868013,1788108840.402000,-1.836061,True,"{""marker"":411,""timestamp"":1788108840.402}"
103.964992,420.000000,420,1788108840.404169,326167.536156,101002.421635,1787782672.868013,1788108840.402000,-2.168655,True,"{""marker"":420,""timestamp"":1788108840.402}"
104.602362,431.000000,431,1788108841.041539,326168.173529,101003.059013,1787782672.868010,1788108841.040000,-1.538754,True,"{""marker"":431,""timestamp"":1788108841.04}"
105.897607,441.000000,441,1788108842.336784,326169.468772,101004.354256,1787782672.868012,1788108842.335000,-1.783848,True,"{""marker"":441,""timestamp"":1788108842.335}"
105.897876,411.000000,411,1788108842.337053,326169.469037,101004.354517,1787782672.868016,1788108842.335000,-2.052784,True,"{""marker"":411,""timestamp"":1788108842.335}"
105.898197,420.000000,420,1788108842.337374,326169.469359,101004.354839,1787782672.868015,1788108842.335000,-2.373934,True,"{""marker"":420,""timestamp"":1788108842.335}"
106.314425,431.000000,431,1788108842.753602,326169.885587,101004.771068,1787782672.868015,1788108842.752000,-1.601934,True,"{""marker"":431,""timestamp"":1788108842.752}"
107.398590,441.000000,441,1788108843.837767,326170.969751,101005.855231,1787782672.868016,1788108843.836000,-1.766682,True,"{""marker"":441,""timestamp"":1788108843.836}"
